"trust";"anchor";"se";"gender";"scale";"t";"intTime";"N";"c";"pvc";"d";"cp";"pvcp";"dp";"pvdp";"cn";"pvcn";"dn";"pvdn";"tot";"sbt";"sbt2";"enhm";"enhsd";"totm";"totsd";"sbm";"sbsd";"sbtm";"sbtsd";"diffm";"diffsd"
"[0, 6]";"[50, 100]";"[0, 5]";"Un homme";"1";"1:4";0;524;-0.0305452152324206;0.693716946823701;0.540513664056352;-0.129511192734842;0.243026305130401;0.587535130729425;4.1016559067555e-16;0.0383397067224933;0.738632094742819;0.506169932447849;4.74836869052127e-10;-2.1;0.318946666054328;0.583677812146314;-2.3465;2.88740650613285;-2.10145;2.77533490169798;0.24505;0.757924299464394;0.283031087083085;0.707963832427117;-0.0379810870830848;0.0888233302645568
"[0, 6]";"[50, 100]";"[0, 5]";"Un homme";"1";"1:4";240;524;-0.0305452152324206;0.693716946823701;0.540513664056352;-0.129511192734842;0.243026305130401;0.587535130729425;4.1016559067555e-16;0.0383397067224933;0.738632094742819;0.506169932447849;4.74836869052127e-10;-2.1;0.318946666054328;0.583677812146314;-2.54965;2.97375426855494;-2.24175;2.90657225073517;0.3079;0.850572724579736;0.33467802460681;0.786080417391409;-0.0267780246068099;0.0985466769484475
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"1:1";0;332;0.0242591883755886;0.795144845508437;0.529023787312268;-0.132577114380888;0.439437804898053;0.628965743012886;6.92000782626094e-08;0.088631996397795;0.436409340071082;0.484807388709153;2.12758288649854e-09;-0.53;0.160512158749654;0.292174433591685;0.0441;2.84802729752318;-0.42525;1.63787272792007;-0.46935;2.38220582664524;0.189987120121157;0.770678006635936;-0.659337120121157;2.3142356743144
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"1:1";240;327;0.0140706566066605;0.880960641190593;0.537171131993427;-0.132577114380888;0.439437804898053;0.628965743012886;6.92000782626094e-08;0.0736291462244451;0.521128125349445;0.497103699291527;1.14441622177677e-09;-0.82;0.215840324885909;0.392946803695846;-0.1865;3.04088732587105;-0.96165;1.72843228630505;-0.77515;2.48335018031901;0.31154268779587;0.855616827567163;-1.08669268779587;2.32459944802415
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"2:2";0;332;-0.0310176480472207;0.740197994474418;0.561658007168195;0.152469458005733;0.300886406914101;0.417169750487517;7.50384864439059e-06;-0.224079204673477;0.0687966938509415;0.717826924567968;1.69232695394559e-15;-0.52;0.263654985801219;0.483121815675998;-6.16915;2.85832026743965;-0.545;1.59541365282427;5.62415;2.42486497111503;0.239425271752133;0.675739910926494;5.38472472824787;2.3652978444684
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"2:2";240;327;-0.0148673797041975;0.872759635407458;0.556290594127431;0.19786095695113;0.178547378800241;0.394364349545702;1.93642074061251e-05;-0.229218762633425;0.0596643930340707;0.726563589283272;5.02843374507074e-16;-0.79;0.116621715027512;0.213655906606551;-6.3419;2.98368400491842;-0.7798;1.66225582632783;5.5621;2.51682371213996;0.189738538462984;0.687499898762073;5.37236146153702;2.31870203169909
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"3:3";0;332;-0.132464422567322;0.129501543955091;0.623666072583385;0.0494011758217225;0.652641530708389;0.524274362680729;1.70523733616648e-13;-0.386944024834312;0.0119278854410476;0.785629373755326;3.74508389679122e-12;-0.47;1.25507088163178;2.29581316903856;0.8848;3.33515445462139;-0.42845;1.66911498154203;-1.31325;2.66916092390257;1.33192837325795;0.707480622896285;-2.64517837325795;2.46638017428503
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"3:3";240;327;-0.120584587465619;0.166907759194309;0.617704715025149;0.0452065331312158;0.682209086706797;0.525190272273776;2.16092465670657e-13;-0.363004031152348;0.0172340904097245;0.774319130430094;4.72585546598794e-12;-0.75;1.18431418425755;2.16787074970088;0.19435;2.82350268541981;-0.70035;1.54199680552237;-0.8947;2.35262152720136;1.14888169309458;0.648906291334807;-2.04358169309458;2.22334603988779
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"4:4";0;332;-0.0371275789823644;0.68489326777136;0.566188376896082;0.127538495392055;0.264872596021758;0.474233113208889;1.05677507631395e-10;-0.390599933750966;0.0274596398582962;0.803517354241718;2.97349461437835e-09;-0.49;0.990288061301624;1.82012252905511;-0.9457;3.46267049323548;-0.51025;1.65646060811332;0.43545;2.80524881285244;0.979422288893016;0.77630179338105;-0.543972288893016;2.58499011273269
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"4:4";240;327;-0.0291218802940491;0.75042526565389;0.561192900172095;0.143715731936184;0.210638830941465;0.465312238780982;2.22275752161485e-10;-0.390599933750966;0.0274596398582962;0.803517354241718;2.97349461437835e-09;-0.77;0.930341298082013;1.70890068635477;-0.2068;3.28195488992422;-0.6034;1.546925444764;-0.3966;2.66151531252292;0.881275229972002;0.766194947604788;-1.277875229972;2.44817486607553
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"1:2";0;664;-0.00397767374105376;0.951751592251996;0.546082740650896;0.0532325727665096;0.632908532982371;0.491669304549323;1.14344493838684e-11;-0.0643040016136842;0.441223176870907;0.598694560842525;2.72406782923426e-23;-0.52;0.0404377867079388;0.0738533244109895;-3.12755;2.11520565722622;-0.43855;1.15812419704404;2.689;1.73000595461839;0.0538371922048306;0.541509481347666;2.63516280779517;1.64911159995834
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"1:2";240;654;-0.00135608252918981;0.983521512684332;0.547526238199861;0.0791476025217566;0.476531090346306;0.478487121330657;3.06447260149495e-11;-0.075521662603696;0.365413878921792;0.609700775737649;5.1567265702779e-24;-0.81;-0.0133314466235342;-0.0243470204558449;-3.31995;1.93735339792259;-0.84245;1.15127174492092;2.4775;1.78691945979076;-0.0277780336006655;0.580047669325142;2.50527803360067;1.62420497248094
